businessKey,batchId,ai_verification_time,ai_overall_status,testName,ai_meets_specification
ACM9844-TEST2,ACM9844,2026-03-03T10:13:10Z,FAIL,Sterility,Conforms
ACM9844-TEST3,ACM9844,2026-03-03T10:13:10Z,FAIL,Endotoxin,Conforms
ACM9844-TEST4,ACM9844,2026-03-03T10:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACW7405-TEST0,ACW7405,2026-01-05T11:13:10Z,FAIL,Appearance,Conforms
ACW7405-TEST1,ACW7405,2026-01-05T11:13:10Z,FAIL,Mycoplasma,Does Not Conform
ACW7405-TEST2,ACW7405,2026-01-05T11:13:10Z,FAIL,Sterility,Conforms
ACW7405-TEST3,ACW7405,2026-01-05T11:13:10Z,FAIL,Endotoxin,Does Not Conform
ACW7405-TEST4,ACW7405,2026-01-05T11:13:10Z,FAIL,Cell Viability Percentage,Does Not Conform
ADC5484-TEST0,ADC5484,2026-01-18T16:13:10Z,FAIL,Appearance,Conforms
ADC5484-TEST1,ADC5484,2026-01-18T16:13:10Z,FAIL,Mycoplasma,Conforms
ADC5484-TEST2,ADC5484,2026-01-18T16:13:10Z,FAIL,Sterility,Conforms
ADC5484-TEST3,ADC5484,2026-01-18T16:13:10Z,FAIL,Endotoxin,Does Not Conform
ADC5484-TEST4,ADC5484,2026-01-18T16:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACX0919-TEST0,ACX0919,2026-02-11T04:13:10Z,FAIL,Appearance,Does Not Conform
ACX0919-TEST1,ACX0919,2026-02-11T04:13:10Z,FAIL,Mycoplasma,Conforms
ACX0919-TEST2,ACX0919,2026-02-11T04:13:10Z,FAIL,Sterility,Conforms
ACX0919-TEST3,ACX0919,2026-02-11T04:13:10Z,FAIL,Endotoxin,Conforms
ACX0919-TEST4,ACX0919,2026-02-11T04:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADJ3484-TEST0,ADJ3484,2026-02-04T18:13:10Z,PASS,Appearance,Conforms
ADJ3484-TEST1,ADJ3484,2026-02-04T18:13:10Z,PASS,Mycoplasma,Conforms
ADJ3484-TEST2,ADJ3484,2026-02-04T18:13:10Z,PASS,Sterility,Conforms
ADJ3484-TEST3,ADJ3484,2026-02-04T18:13:10Z,PASS,Endotoxin,Conforms
ADJ3484-TEST4,ADJ3484,2026-02-04T18:13:10Z,PASS,Cell Viability Percentage,Conforms
ACW1781-TEST0,ACW1781,2026-01-08T09:13:10Z,FAIL,Appearance,Conforms
ACW1781-TEST1,ACW1781,2026-01-08T09:13:10Z,FAIL,Mycoplasma,Does Not Conform
ACW1781-TEST2,ACW1781,2026-01-08T09:13:10Z,FAIL,Sterility,Conforms
ACW1781-TEST3,ACW1781,2026-01-08T09:13:10Z,FAIL,Endotoxin,Conforms
ACW1781-TEST4,ACW1781,2026-01-08T09:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACU2811-TEST0,ACU2811,2026-02-10T08:13:10Z,FAIL,Appearance,Conforms
ACU2811-TEST1,ACU2811,2026-02-10T08:13:10Z,FAIL,Mycoplasma,Does Not Conform
ACU2811-TEST2,ACU2811,2026-02-10T08:13:10Z,FAIL,Sterility,Conforms
ACU2811-TEST3,ACU2811,2026-02-10T08:13:10Z,FAIL,Endotoxin,Conforms
ACU2811-TEST4,ACU2811,2026-02-10T08:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADB9854-TEST0,ADB9854,2026-02-08T11:13:10Z,FAIL,Appearance,Does Not Conform
ADB9854-TEST1,ADB9854,2026-02-08T11:13:10Z,FAIL,Mycoplasma,Conforms
ADB9854-TEST2,ADB9854,2026-02-08T11:13:10Z,FAIL,Sterility,Conforms
ADB9854-TEST3,ADB9854,2026-02-08T11:13:10Z,FAIL,Endotoxin,Conforms
ADB9854-TEST4,ADB9854,2026-02-08T11:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADB9278-TEST0,ADB9278,2026-01-21T22:13:10Z,FAIL,Appearance,Does Not Conform
ADB9278-TEST1,ADB9278,2026-01-21T22:13:10Z,FAIL,Mycoplasma,Conforms
ADB9278-TEST2,ADB9278,2026-01-21T22:13:10Z,FAIL,Sterility,Conforms
ADB9278-TEST3,ADB9278,2026-01-21T22:13:10Z,FAIL,Endotoxin,Conforms
ADB9278-TEST4,ADB9278,2026-01-21T22:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACZ7035-TEST0,ACZ7035,2026-01-23T13:13:10Z,FAIL,Appearance,Does Not Conform
ACZ7035-TEST1,ACZ7035,2026-01-23T13:13:10Z,FAIL,Mycoplasma,Conforms
ACZ7035-TEST2,ACZ7035,2026-01-23T13:13:10Z,FAIL,Sterility,Conforms
ACZ7035-TEST3,ACZ7035,2026-01-23T13:13:10Z,FAIL,Endotoxin,Conforms
ACZ7035-TEST4,ACZ7035,2026-01-23T13:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADK2469-TEST0,ADK2469,2026-01-21T16:13:10Z,FAIL,Appearance,Conforms
ADK2469-TEST1,ADK2469,2026-01-21T16:13:10Z,FAIL,Mycoplasma,Conforms
ADK2469-TEST2,ADK2469,2026-01-21T16:13:10Z,FAIL,Sterility,Conforms
ADK2469-TEST3,ADK2469,2026-01-21T16:13:10Z,FAIL,Endotoxin,Does Not Conform
ADK2469-TEST4,ADK2469,2026-01-21T16:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADB4300-TEST0,ADB4300,2026-02-27T20:13:10Z,FAIL,Appearance,Does Not Conform
ADB4300-TEST1,ADB4300,2026-02-27T20:13:10Z,FAIL,Mycoplasma,Conforms
ADB4300-TEST2,ADB4300,2026-02-27T20:13:10Z,FAIL,Sterility,Conforms
ADB4300-TEST3,ADB4300,2026-02-27T20:13:10Z,FAIL,Endotoxin,Conforms
ADB4300-TEST4,ADB4300,2026-02-27T20:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADD7418-TEST0,ADD7418,2026-02-18T12:13:10Z,FAIL,Appearance,Conforms
ADD7418-TEST1,ADD7418,2026-02-18T12:13:10Z,FAIL,Mycoplasma,Conforms
ADD7418-TEST2,ADD7418,2026-02-18T12:13:10Z,FAIL,Sterility,Does Not Conform
ADD7418-TEST3,ADD7418,2026-02-18T12:13:10Z,FAIL,Endotoxin,Does Not Conform
ADD7418-TEST4,ADD7418,2026-02-18T12:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADC3057-TEST0,ADC3057,2026-01-16T22:13:10Z,FAIL,Appearance,Conforms
ADC3057-TEST1,ADC3057,2026-01-16T22:13:10Z,FAIL,Mycoplasma,Conforms
ADC3057-TEST2,ADC3057,2026-01-16T22:13:10Z,FAIL,Sterility,Conforms
ADC3057-TEST3,ADC3057,2026-01-16T22:13:10Z,FAIL,Endotoxin,Does Not Conform
ADC3057-TEST4,ADC3057,2026-01-16T22:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADG1113-TEST0,ADG1113,2026-02-08T11:13:10Z,FAIL,Appearance,Does Not Conform
ADG1113-TEST1,ADG1113,2026-02-08T11:13:10Z,FAIL,Mycoplasma,Conforms
ADG1113-TEST2,ADG1113,2026-02-08T11:13:10Z,FAIL,Sterility,Conforms
ADG1113-TEST3,ADG1113,2026-02-08T11:13:10Z,FAIL,Endotoxin,Conforms
ADG1113-TEST4,ADG1113,2026-02-08T11:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACX9349-TEST0,ACX9349,2026-02-25T22:13:10Z,FAIL,Appearance,Conforms
ACX9349-TEST1,ACX9349,2026-02-25T22:13:10Z,FAIL,Mycoplasma,Conforms
ACX9349-TEST2,ACX9349,2026-02-25T22:13:10Z,FAIL,Sterility,Conforms
ACX9349-TEST3,ACX9349,2026-02-25T22:13:10Z,FAIL,Endotoxin,Conforms
ACX9349-TEST4,ACX9349,2026-02-25T22:13:10Z,FAIL,Cell Viability Percentage,Does Not Conform
ADA9759-TEST0,ADA9759,2026-01-12T23:13:10Z,FAIL,Appearance,Conforms
ADA9759-TEST1,ADA9759,2026-01-12T23:13:10Z,FAIL,Mycoplasma,Does Not Conform
ADA9759-TEST2,ADA9759,2026-01-12T23:13:10Z,FAIL,Sterility,Conforms
ADA9759-TEST3,ADA9759,2026-01-12T23:13:10Z,FAIL,Endotoxin,Conforms
ADA9759-TEST4,ADA9759,2026-01-12T23:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADK1132-TEST0,ADK1132,2026-03-05T01:13:10Z,FAIL,Appearance,Does Not Conform
ADK1132-TEST1,ADK1132,2026-03-05T01:13:10Z,FAIL,Mycoplasma,Conforms
ADK1132-TEST2,ADK1132,2026-03-05T01:13:10Z,FAIL,Sterility,Conforms
ADK1132-TEST3,ADK1132,2026-03-05T01:13:10Z,FAIL,Endotoxin,Conforms
ADK1132-TEST4,ADK1132,2026-03-05T01:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACE5953-TEST0,ACE5953,2026-03-03T11:13:10Z,FAIL,Appearance,Conforms
ACE5953-TEST1,ACE5953,2026-03-03T11:13:10Z,FAIL,Mycoplasma,Conforms
ACE5953-TEST2,ACE5953,2026-03-03T11:13:10Z,FAIL,Sterility,Does Not Conform
ACE5953-TEST3,ACE5953,2026-03-03T11:13:10Z,FAIL,Endotoxin,Does Not Conform
ACE5953-TEST4,ACE5953,2026-03-03T11:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACZ1794-TEST0,ACZ1794,2026-02-23T14:13:10Z,FAIL,Appearance,Does Not Conform
ACZ1794-TEST1,ACZ1794,2026-02-23T14:13:10Z,FAIL,Mycoplasma,Does Not Conform
ACZ1794-TEST2,ACZ1794,2026-02-23T14:13:10Z,FAIL,Sterility,Conforms
ACZ1794-TEST3,ACZ1794,2026-02-23T14:13:10Z,FAIL,Endotoxin,Conforms
ACZ1794-TEST4,ACZ1794,2026-02-23T14:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADA5326-TEST0,ADA5326,2026-01-30T22:13:10Z,FAIL,Appearance,Conforms
ADA5326-TEST1,ADA5326,2026-01-30T22:13:10Z,FAIL,Mycoplasma,Conforms
ADA5326-TEST2,ADA5326,2026-01-30T22:13:10Z,FAIL,Sterility,Does Not Conform
ADA5326-TEST3,ADA5326,2026-01-30T22:13:10Z,FAIL,Endotoxin,Does Not Conform
ADA5326-TEST4,ADA5326,2026-01-30T22:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACX6806-TEST0,ACX6806,2026-01-25T05:13:10Z,FAIL,Appearance,Does Not Conform
ACX6806-TEST1,ACX6806,2026-01-25T05:13:10Z,FAIL,Mycoplasma,Conforms
ACX6806-TEST2,ACX6806,2026-01-25T05:13:10Z,FAIL,Sterility,Conforms
ACX6806-TEST3,ACX6806,2026-01-25T05:13:10Z,FAIL,Endotoxin,Conforms
ACX6806-TEST4,ACX6806,2026-01-25T05:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACU1739-TEST0,ACU1739,2026-02-08T12:13:10Z,FAIL,Appearance,Conforms
ACU1739-TEST1,ACU1739,2026-02-08T12:13:10Z,FAIL,Mycoplasma,Conforms
ACU1739-TEST2,ACU1739,2026-02-08T12:13:10Z,FAIL,Sterility,Conforms
ACU1739-TEST3,ACU1739,2026-02-08T12:13:10Z,FAIL,Endotoxin,Conforms
ACU1739-TEST4,ACU1739,2026-02-08T12:13:10Z,FAIL,Cell Viability Percentage,Does Not Conform
ADD8288-TEST0,ADD8288,2026-02-01T04:13:10Z,FAIL,Appearance,Conforms
ADD8288-TEST1,ADD8288,2026-02-01T04:13:10Z,FAIL,Mycoplasma,Does Not Conform
ADD8288-TEST2,ADD8288,2026-02-01T04:13:10Z,FAIL,Sterility,Conforms
ADD8288-TEST3,ADD8288,2026-02-01T04:13:10Z,FAIL,Endotoxin,Conforms
ADD8288-TEST4,ADD8288,2026-02-01T04:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADC4794-TEST0,ADC4794,2026-03-04T02:13:10Z,FAIL,Appearance,Does Not Conform
ADC4794-TEST1,ADC4794,2026-03-04T02:13:10Z,FAIL,Mycoplasma,Conforms
ADC4794-TEST2,ADC4794,2026-03-04T02:13:10Z,FAIL,Sterility,Conforms
ADC4794-TEST3,ADC4794,2026-03-04T02:13:10Z,FAIL,Endotoxin,Conforms
ADC4794-TEST4,ADC4794,2026-03-04T02:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADJ4366-TEST0,ADJ4366,2026-02-24T11:13:10Z,FAIL,Appearance,Conforms
ADJ4366-TEST1,ADJ4366,2026-02-24T11:13:10Z,FAIL,Mycoplasma,Conforms
ADJ4366-TEST2,ADJ4366,2026-02-24T11:13:10Z,FAIL,Sterility,Does Not Conform
ADJ4366-TEST3,ADJ4366,2026-02-24T11:13:10Z,FAIL,Endotoxin,Conforms
ADJ4366-TEST4,ADJ4366,2026-02-24T11:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADF1765-TEST0,ADF1765,2026-02-06T11:13:10Z,FAIL,Appearance,Does Not Conform
ADF1765-TEST1,ADF1765,2026-02-06T11:13:10Z,FAIL,Mycoplasma,Conforms
ADF1765-TEST2,ADF1765,2026-02-06T11:13:10Z,FAIL,Sterility,Does Not Conform
ADF1765-TEST3,ADF1765,2026-02-06T11:13:10Z,FAIL,Endotoxin,Conforms
ADF1765-TEST4,ADF1765,2026-02-06T11:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADB9287-TEST0,ADB9287,2026-01-19T10:13:10Z,FAIL,Appearance,Does Not Conform
ADB9287-TEST1,ADB9287,2026-01-19T10:13:10Z,FAIL,Mycoplasma,Conforms
ADB9287-TEST2,ADB9287,2026-01-19T10:13:10Z,FAIL,Sterility,Conforms
ADB9287-TEST3,ADB9287,2026-01-19T10:13:10Z,FAIL,Endotoxin,Conforms
ADB9287-TEST4,ADB9287,2026-01-19T10:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACW3990-TEST0,ACW3990,2026-01-10T17:13:10Z,FAIL,Appearance,Conforms
ACW3990-TEST1,ACW3990,2026-01-10T17:13:10Z,FAIL,Mycoplasma,Conforms
ACW3990-TEST2,ACW3990,2026-01-10T17:13:10Z,FAIL,Sterility,Does Not Conform
ACW3990-TEST3,ACW3990,2026-01-10T17:13:10Z,FAIL,Endotoxin,Conforms
ACW3990-TEST4,ACW3990,2026-01-10T17:13:10Z,FAIL,Cell Viability Percentage,Does Not Conform
ACV8559-TEST0,ACV8559,2026-01-17T07:13:10Z,PASS,Appearance,Conforms
ACV8559-TEST1,ACV8559,2026-01-17T07:13:10Z,PASS,Mycoplasma,Conforms
ACV8559-TEST2,ACV8559,2026-01-17T07:13:10Z,PASS,Sterility,Conforms
ACV8559-TEST3,ACV8559,2026-01-17T07:13:10Z,PASS,Endotoxin,Conforms
ACV8559-TEST4,ACV8559,2026-01-17T07:13:10Z,PASS,Cell Viability Percentage,Conforms
ADJ6448-TEST0,ADJ6448,2026-01-16T08:13:10Z,FAIL,Appearance,Does Not Conform
ADJ6448-TEST1,ADJ6448,2026-01-16T08:13:10Z,FAIL,Mycoplasma,Conforms
ADJ6448-TEST2,ADJ6448,2026-01-16T08:13:10Z,FAIL,Sterility,Conforms
ADJ6448-TEST3,ADJ6448,2026-01-16T08:13:10Z,FAIL,Endotoxin,Conforms
ADJ6448-TEST4,ADJ6448,2026-01-16T08:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADA2083-TEST0,ADA2083,2026-01-16T09:13:10Z,PASS,Appearance,Conforms
ADA2083-TEST1,ADA2083,2026-01-16T09:13:10Z,PASS,Mycoplasma,Conforms
ADA2083-TEST2,ADA2083,2026-01-16T09:13:10Z,PASS,Sterility,Conforms
ADA2083-TEST3,ADA2083,2026-01-16T09:13:10Z,PASS,Endotoxin,Conforms
ADA2083-TEST4,ADA2083,2026-01-16T09:13:10Z,PASS,Cell Viability Percentage,Conforms
ADG7623-TEST0,ADG7623,2026-01-16T22:13:10Z,PASS,Appearance,Conforms
ADG7623-TEST1,ADG7623,2026-01-16T22:13:10Z,PASS,Mycoplasma,Conforms
ADG7623-TEST2,ADG7623,2026-01-16T22:13:10Z,PASS,Sterility,Conforms
ADG7623-TEST3,ADG7623,2026-01-16T22:13:10Z,PASS,Endotoxin,Conforms
ADG7623-TEST4,ADG7623,2026-01-16T22:13:10Z,PASS,Cell Viability Percentage,Conforms
ACM8668-TEST0,ACM8668,2026-01-29T17:13:10Z,FAIL,Appearance,Does Not Conform
ACM8668-TEST1,ACM8668,2026-01-29T17:13:10Z,FAIL,Mycoplasma,Conforms
ACM8668-TEST2,ACM8668,2026-01-29T17:13:10Z,FAIL,Sterility,Conforms
ACM8668-TEST3,ACM8668,2026-01-29T17:13:10Z,FAIL,Endotoxin,Conforms
ACM8668-TEST4,ACM8668,2026-01-29T17:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADD6566-TEST0,ADD6566,2026-01-05T15:13:10Z,FAIL,Appearance,Does Not Conform
ADD6566-TEST1,ADD6566,2026-01-05T15:13:10Z,FAIL,Mycoplasma,Conforms
ADD6566-TEST2,ADD6566,2026-01-05T15:13:10Z,FAIL,Sterility,Conforms
ADD6566-TEST3,ADD6566,2026-01-05T15:13:10Z,FAIL,Endotoxin,Does Not Conform
ADD6566-TEST4,ADD6566,2026-01-05T15:13:10Z,FAIL,Cell Viability Percentage,Does Not Conform
ACV9305-TEST0,ACV9305,2026-02-10T17:13:10Z,FAIL,Appearance,Conforms
ACV9305-TEST1,ACV9305,2026-02-10T17:13:10Z,FAIL,Mycoplasma,Does Not Conform
ACV9305-TEST2,ACV9305,2026-02-10T17:13:10Z,FAIL,Sterility,Conforms
ACV9305-TEST3,ACV9305,2026-02-10T17:13:10Z,FAIL,Endotoxin,Conforms
ACV9305-TEST4,ACV9305,2026-02-10T17:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACV7314-TEST0,ACV7314,2026-01-09T03:13:10Z,FAIL,Appearance,Does Not Conform
ACV7314-TEST1,ACV7314,2026-01-09T03:13:10Z,FAIL,Mycoplasma,Conforms
ACV7314-TEST2,ACV7314,2026-01-09T03:13:10Z,FAIL,Sterility,Conforms
ACV7314-TEST3,ACV7314,2026-01-09T03:13:10Z,FAIL,Endotoxin,Conforms
ACV7314-TEST4,ACV7314,2026-01-09T03:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACY0368-TEST0,ACY0368,2026-02-04T11:13:10Z,PASS,Appearance,Conforms
ACY0368-TEST1,ACY0368,2026-02-04T11:13:10Z,PASS,Mycoplasma,Conforms
ACY0368-TEST2,ACY0368,2026-02-04T11:13:10Z,PASS,Sterility,Conforms
ACY0368-TEST3,ACY0368,2026-02-04T11:13:10Z,PASS,Endotoxin,Conforms
ACY0368-TEST4,ACY0368,2026-02-04T11:13:10Z,PASS,Cell Viability Percentage,Conforms
ACX4667-TEST0,ACX4667,2026-01-24T10:13:10Z,FAIL,Appearance,Does Not Conform
ACX4667-TEST1,ACX4667,2026-01-24T10:13:10Z,FAIL,Mycoplasma,Conforms
ACX4667-TEST2,ACX4667,2026-01-24T10:13:10Z,FAIL,Sterility,Conforms
ACX4667-TEST3,ACX4667,2026-01-24T10:13:10Z,FAIL,Endotoxin,Conforms
ACX4667-TEST4,ACX4667,2026-01-24T10:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACZ3700-TEST0,ACZ3700,2026-02-05T15:13:10Z,FAIL,Appearance,Does Not Conform
ACZ3700-TEST1,ACZ3700,2026-02-05T15:13:10Z,FAIL,Mycoplasma,Conforms
ACZ3700-TEST2,ACZ3700,2026-02-05T15:13:10Z,FAIL,Sterility,Conforms
ACZ3700-TEST3,ACZ3700,2026-02-05T15:13:10Z,FAIL,Endotoxin,Conforms
ACZ3700-TEST4,ACZ3700,2026-02-05T15:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADE5967-TEST0,ADE5967,2026-02-19T12:13:10Z,FAIL,Appearance,Does Not Conform
ADE5967-TEST1,ADE5967,2026-02-19T12:13:10Z,FAIL,Mycoplasma,Does Not Conform
ADE5967-TEST2,ADE5967,2026-02-19T12:13:10Z,FAIL,Sterility,Conforms
ADE5967-TEST3,ADE5967,2026-02-19T12:13:10Z,FAIL,Endotoxin,Does Not Conform
ADE5967-TEST4,ADE5967,2026-02-19T12:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADJ9515-TEST0,ADJ9515,2026-01-26T23:13:10Z,FAIL,Appearance,Does Not Conform
ADJ9515-TEST1,ADJ9515,2026-01-26T23:13:10Z,FAIL,Mycoplasma,Conforms
ADJ9515-TEST2,ADJ9515,2026-01-26T23:13:10Z,FAIL,Sterility,Conforms
ADJ9515-TEST3,ADJ9515,2026-01-26T23:13:10Z,FAIL,Endotoxin,Conforms
ADJ9515-TEST4,ADJ9515,2026-01-26T23:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADC6511-TEST0,ADC6511,2026-01-06T14:13:10Z,FAIL,Appearance,Conforms
ADC6511-TEST1,ADC6511,2026-01-06T14:13:10Z,FAIL,Mycoplasma,Conforms
ADC6511-TEST2,ADC6511,2026-01-06T14:13:10Z,FAIL,Sterility,Does Not Conform
ADC6511-TEST3,ADC6511,2026-01-06T14:13:10Z,FAIL,Endotoxin,Conforms
ADC6511-TEST4,ADC6511,2026-01-06T14:13:10Z,FAIL,Cell Viability Percentage,Conforms
ACW5159-TEST0,ACW5159,2026-02-23T02:13:10Z,PASS,Appearance,Conforms
ACW5159-TEST1,ACW5159,2026-02-23T02:13:10Z,PASS,Mycoplasma,Conforms
ACW5159-TEST2,ACW5159,2026-02-23T02:13:10Z,PASS,Sterility,Conforms
ACW5159-TEST3,ACW5159,2026-02-23T02:13:10Z,PASS,Endotoxin,Conforms
ACW5159-TEST4,ACW5159,2026-02-23T02:13:10Z,PASS,Cell Viability Percentage,Conforms
ADE5641-TEST0,ADE5641,2026-01-08T05:13:10Z,PASS,Appearance,Conforms
ADE5641-TEST1,ADE5641,2026-01-08T05:13:10Z,PASS,Mycoplasma,Conforms
ADE5641-TEST2,ADE5641,2026-01-08T05:13:10Z,PASS,Sterility,Conforms
ADE5641-TEST3,ADE5641,2026-01-08T05:13:10Z,PASS,Endotoxin,Conforms
ADE5641-TEST4,ADE5641,2026-01-08T05:13:10Z,PASS,Cell Viability Percentage,Conforms
ACX7998-TEST0,ACX7998,2026-01-15T05:13:10Z,FAIL,Appearance,Conforms
ACX7998-TEST1,ACX7998,2026-01-15T05:13:10Z,FAIL,Mycoplasma,Conforms
ACX7998-TEST2,ACX7998,2026-01-15T05:13:10Z,FAIL,Sterility,Conforms
ACX7998-TEST3,ACX7998,2026-01-15T05:13:10Z,FAIL,Endotoxin,Does Not Conform
ACX7998-TEST4,ACX7998,2026-01-15T05:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADC5070-TEST0,ADC5070,2026-03-02T08:13:10Z,FAIL,Appearance,Does Not Conform
ADC5070-TEST1,ADC5070,2026-03-02T08:13:10Z,FAIL,Mycoplasma,Conforms
ADC5070-TEST2,ADC5070,2026-03-02T08:13:10Z,FAIL,Sterility,Conforms
ADC5070-TEST3,ADC5070,2026-03-02T08:13:10Z,FAIL,Endotoxin,Conforms
ADC5070-TEST4,ADC5070,2026-03-02T08:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADK0229-TEST0,ADK0229,2026-02-12T05:13:10Z,FAIL,Appearance,Conforms
ADK0229-TEST1,ADK0229,2026-02-12T05:13:10Z,FAIL,Mycoplasma,Conforms
ADK0229-TEST2,ADK0229,2026-02-12T05:13:10Z,FAIL,Sterility,Conforms
ADK0229-TEST3,ADK0229,2026-02-12T05:13:10Z,FAIL,Endotoxin,Does Not Conform
ADK0229-TEST4,ADK0229,2026-02-12T05:13:10Z,FAIL,Cell Viability Percentage,Does Not Conform
ADK2439-TEST0,ADK2439,2026-02-08T00:13:10Z,FAIL,Appearance,Conforms
ADK2439-TEST1,ADK2439,2026-02-08T00:13:10Z,FAIL,Mycoplasma,Conforms
ADK2439-TEST2,ADK2439,2026-02-08T00:13:10Z,FAIL,Sterility,Conforms
ADK2439-TEST3,ADK2439,2026-02-08T00:13:10Z,FAIL,Endotoxin,Does Not Conform
ADK2439-TEST4,ADK2439,2026-02-08T00:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADG4092-TEST0,ADG4092,2026-01-05T12:13:10Z,FAIL,Appearance,Conforms
ADG4092-TEST1,ADG4092,2026-01-05T12:13:10Z,FAIL,Mycoplasma,Conforms
ADG4092-TEST2,ADG4092,2026-01-05T12:13:10Z,FAIL,Sterility,Does Not Conform
ADG4092-TEST3,ADG4092,2026-01-05T12:13:10Z,FAIL,Endotoxin,Conforms
ADG4092-TEST4,ADG4092,2026-01-05T12:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADD6655-TEST0,ADD6655,2026-02-28T02:13:10Z,FAIL,Appearance,Does Not Conform
ADD6655-TEST1,ADD6655,2026-02-28T02:13:10Z,FAIL,Mycoplasma,Conforms
ADD6655-TEST2,ADD6655,2026-02-28T02:13:10Z,FAIL,Sterility,Conforms
ADD6655-TEST3,ADD6655,2026-02-28T02:13:10Z,FAIL,Endotoxin,Conforms
ADD6655-TEST4,ADD6655,2026-02-28T02:13:10Z,FAIL,Cell Viability Percentage,Conforms
ADJ5247-TEST0,ADJ5247,2026-01-27T23:13:10Z,PASS,Appearance,Conforms
ADJ5247-TEST1,ADJ5247,2026-01-27T23:13:10Z,PASS,Mycoplasma,Conforms
ADJ5247-TEST2,ADJ5247,2026-01-27T23:13:10Z,PASS,Sterility,Conforms
